courseId,batchId
do_31299118752609075211,0131827370086236160
do_31299118752609075211,013182328710840320153
do_3130364537390120961222,01303651290843545632
do_313036453673582592139,0130365115908505608
do_3130364537360793601213,01303651584603750431
do_3130364537006161921116,01303651585717862410
do_3130364537129533441144,01303651055433318416
do_3130364536988876801111,01303651571622707217
do_3130364537139773441147,01303651285153382414
do_3130364537512755201258,01303651664205414422
do_3130364537310330881198,01303651711153766422
do_3130364537269862401186,01303651396453990424
do_313036453670674432131,0130365126762741762
do_3130364537629736961294,01303651704392089643
do_3130364537163284481154,01303651189536358417
do_313036453675835392145,0130365151223889924
do_3130364537074483201132,01303651218159206421
do_313036453689753600184,0130365102055751687
do_313036453670305792130,0130365152489635842
do_3130364537042042881125,01303651360011059221
do_313036453692833792193,0130365113395363849
do_3130364537499729921254,01303651144860467227
do_313036453687713792178,0130365113836748807
do_3130364537357516801212,01303651794512281624
do_3130364537616711681290,01303651246193049640
do_3130364537591152641282,01303651725006438428
do_31303645366096691215,0130365159060357120
do_31303645366096691215,01318226832630579253
do_31303645366136832016,013182276169474048311
do_31303645366136832016,013182276236378112496
do_31303645366136832016,013182276266106880952
do_312991581041016832120,0129915941834096641
do_312991581857751040124,0129916034347745281
do_31299158441290956819,0129916070442762241
do_312991585115160576110,0129916165102551041
do_312991586293088256113,0129916323496509440
do_312991833530097664118,0129918362079150080
do_312991892917649408124,0129918959830302720
do_312991897430360064117,0129919055236874241
do_312993890079875072119,0129938977015644160
do_31299389044899840014,0129939036313681921
do_312993902301184000123,129939051313807362
do_31299390246975078416,0129939142052003841
do_31299390261868134419,0129939061609840640
do_31299390776541184011,0129939173380751360
do_31299390827799347215,0129939190504898561
do_31299390845268787219,0129939132871147522
do_312994349322002432127,0129943508956364800
do_31299441890657075211,0129944809829007360
do_312995124562550784110,0129951316384153600
do_31299522129044275215,0129952283615395840
do_31299600355282124816,0129960122498908161
do_31299600381235200014,0129960079482470402
do_31303645366136832016,013182276277714944399
do_31303645366136832016,013182276291297280414
do_31303645366136832016,013182276317790208298
do_3130364537643335681298,01303651129755238445
do_3130364537112166401139,01303651458818867214
do_3130364537103892481137,01303651302512230414
do_3130364537376931841218,01303651569452646431
do_3130364537551339521270,01303651550289100823
do_3130364537544867841268,01303651528536883235
do_3130364537118720001141,01303651541112422413
do_3130364537639567361297,01303651077355929630
