protocol,host,port,portal
https,28.0.0.59,31390,loadtest.ntp.net.in
https,28.0.0.13,31390,loadtest.ntp.net.in
https,28.0.0.55,31390,loadtest.ntp.net.in
https,28.0.0.56,31390,loadtest.ntp.net.in
